买入日,代码,名称,评级,买入价,卖出日,卖出价,收益%,持仓天数
2019-03-11,002391,长青股份,D,7.96,2019-03-18,8.04,1.0%,6
2019-03-20,002884,凌霄泵业,C,4.35,2019-03-22,4.77,9.6%,3
2019-04-02,600570,恒生电子,B,30.32,2019-04-10,28.64,-5.6%,6
2019-04-18,002139,拓邦股份,C,6.10,2019-04-22,6.41,5.0%,3
2019-04-26,002695,煌上煌,C,13.51,2019-05-06,14.24,5.3%,4
2019-08-01,300363,博腾股份,D,8.50,2019-08-05,8.94,5.1%,3
2019-08-06,300552,万集科技,D,17.25,2019-08-08,19.88,15.1%,3
2019-08-12,002351,漫步者,A,2.47,2019-08-14,2.62,6.0%,3
2019-08-15,300612,宣亚国际,C,19.96,2019-08-22,18.18,-9.0%,6
2019-08-23,600511,国药股份,C,23.88,2019-08-27,25.07,4.9%,3
2019-08-28,600510,黑牡丹,A,4.90,2019-09-04,5.08,3.4%,6
2019-09-05,300612,宣亚国际,C,18.01,2019-09-09,19.18,6.4%,3
2019-09-20,600511,国药股份,C,23.67,2019-09-27,21.96,-7.3%,6
2019-10-11,002913,奥士康,C,26.06,2019-10-18,27.39,5.0%,6
2019-10-21,002557,洽洽食品,D,26.38,2019-10-28,26.50,0.4%,6
2019-10-29,002100,天康生物,C,10.87,2019-10-30,12.74,17.1%,2
2019-10-31,300363,博腾股份,B,12.40,2019-11-07,12.28,-1.1%,6
2020-01-02,603127,昭衍新药,C,14.22,2020-01-09,15.93,11.9%,6
2020-01-20,300617,安靠智电,C,22.19,2020-01-21,25.40,14.4%,2
2020-02-05,300559,佳发教育,B,19.41,2020-02-06,22.06,13.6%,2
2020-03-24,300765,新诺威,D,6.64,2020-03-30,7.89,18.7%,5
2020-04-01,300187,永清环保,C,4.70,2020-04-02,5.07,7.9%,2
2020-04-13,600683,京投发展,C,3.80,2020-04-16,3.53,-7.3%,4
2020-04-20,000799,酒鬼酒,C,27.17,2020-04-24,27.78,2.2%,4
2020-04-24,603088,宁波精达,A,2.33,2020-04-28,2.46,5.5%,3
2020-04-29,600211,西藏药业,B,14.46,2020-05-11,14.90,3.0%,6
2020-05-27,300559,佳发教育,B,21.01,2020-06-03,21.34,1.5%,6
2020-06-16,002416,爱施德,C,4.49,2020-06-23,4.47,-0.7%,6
2020-07-02,000910,大亚圣象,D,14.92,2020-07-07,15.42,3.3%,3
2020-07-07,603088,宁波精达,A,2.99,2020-07-09,3.14,4.8%,3
2020-07-13,603520,司太立,D,55.73,2020-07-20,52.15,-6.5%,6
2020-07-21,688002,睿创微纳,C,66.74,2020-07-28,75.23,12.6%,6
2020-07-29,300386,飞天诚信,D,22.98,2020-07-31,25.66,11.6%,3
2020-08-03,600885,宏发股份,C,20.58,2020-08-05,21.86,6.1%,3
2020-08-06,300231,银信科技,C,9.12,2020-08-13,9.00,-1.3%,6
2020-08-14,603056,德邦股份,A,14.00,2020-08-17,16.18,15.5%,2
2020-08-18,603027,千禾味业,B,19.84,2020-08-21,21.99,10.7%,4
2020-08-24,002027,分众传媒,B,5.42,2020-08-25,6.07,11.9%,2
2020-08-26,000823,超声电子,B,13.00,2020-09-02,13.14,1.0%,6
2020-09-03,002408,齐翔腾达,B,5.74,2020-09-10,6.17,7.5%,6
2020-10-12,688357,建龙微纳,D,42.19,2020-10-13,45.25,7.2%,2
2020-10-21,002434,万里扬,B,10.42,2020-10-26,11.21,7.4%,4
2020-10-28,300578,会畅通讯,A,41.93,2020-10-29,41.88,-0.2%,1
2020-10-29,688036,传音控股,A,63.24,2020-10-30,74.99,18.5%,2
2020-11-02,300378,鼎捷数智,C,25.31,2020-11-03,27.66,9.2%,2
2020-11-04,300124,汇川技术,B,50.11,2020-11-09,52.80,5.3%,4
2021-01-15,002897,意华股份,B,24.46,2021-01-22,24.82,1.4%,6
2021-01-29,600699,均胜电子,D,26.36,2021-02-05,24.28,-8.0%,6
2021-02-08,600699,均胜电子,D,24.20,2021-02-22,23.06,-4.8%,6
2021-03-08,002572,索菲亚,D,30.02,2021-03-15,27.13,-9.7%,6
2021-03-18,600507,方大特钢,B,6.66,2021-03-19,7.30,9.5%,2
2021-03-23,002925,盈趣科技,B,32.55,2021-03-30,34.01,4.4%,6
2021-03-31,600760,中航沈飞,C,33.16,2021-04-08,31.51,-5.0%,6
2021-04-09,605099,共创草坪,C,29.47,2021-04-12,37.03,25.6%,2
2021-04-20,601882,海天精工,C,13.20,2021-04-21,13.90,5.2%,2
2021-04-22,600475,华光环能,D,6.97,2021-04-29,6.94,-0.5%,6
2021-04-30,300223,北京君正,A,71.86,2021-05-12,61.79,-14.1%,6
2021-05-17,603520,司太立,D,44.02,2021-05-20,47.23,7.2%,4
2021-05-21,601636,旗滨集团,C,13.38,2021-05-25,14.16,5.8%,3
2021-06-07,002416,爱施德,C,5.87,2021-06-08,6.86,16.8%,2
2021-06-16,002891,中宠股份,C,38.97,2021-06-21,42.86,9.9%,4
2021-06-22,603088,宁波精达,A,3.10,2021-06-29,2.83,-8.7%,6
