买入日,代码,名称,买入价,卖出日,卖出价,收益%,持仓天数
20190311,002391,长青股份,7.95,20190416,8.53,7.2%,36
20190402,600570,恒生电子,30.30,20190410,28.67,-5.4%,8
20190402,603313,梦百合,18.85,20190410,16.79,-10.9%,8
20190418,002139,拓邦股份,6.10,20190430,5.82,-4.6%,12
20190426,002695,煌上煌,13.51,20190510,12.41,-8.1%,14
20190429,300146,汤臣倍健,18.37,20190527,16.78,-8.7%,28
20190430,600332,白云山,39.23,20190524,34.33,-12.5%,24
20190430,600287,苏豪时尚,6.55,20190510,6.99,6.7%,10
20190430,300475,香农芯创,5.09,20190610,5.71,12.1%,41
20190430,603508,思维列控,19.17,20190524,24.81,29.4%,24
20190430,002020,京新药业,7.57,20190529,7.83,3.4%,29
20190506,600587,新华医疗,11.00,20190510,11.47,4.2%,4
20190801,300363,博腾股份,8.50,20191025,11.36,33.7%,85
20190806,300552,万集科技,17.25,20190823,20.13,16.8%,17
20190812,002351,漫步者,2.47,20191206,12.69,413.4%,116
20190812,603658,安图生物,51.85,20190912,57.70,11.3%,31
20190814,603127,昭衍新药,15.21,20190912,14.80,-2.7%,29
20190815,300612,宣亚国际,19.95,20190816,18.71,-6.2%,1
20190819,600600,青岛啤酒,42.60,20190912,41.30,-3.1%,24
20190819,603050,科林电气,3.63,20191101,3.47,-4.5%,74
20190820,600862,中航高科,8.47,20190918,9.20,8.6%,29
20190823,600511,国药股份,23.87,20190924,22.79,-4.5%,32
20190828,002019,亿帆医药,12.84,20200320,15.90,23.8%,205
20190828,600510,黑牡丹,4.90,20191021,5.31,8.4%,54
20190828,601360,三六零,20.01,20190927,23.12,15.5%,30
20190828,002714,牧原股份,28.17,20190906,26.96,-4.3%,9
20190829,002705,新宝股份,8.61,20190904,9.29,7.9%,6
20190829,002649,博彦科技,7.86,20191021,7.56,-3.8%,53
20190829,300559,佳发教育,15.10,20190905,16.54,9.5%,7
20190829,603590,康辰药业,37.27,20191101,33.22,-10.9%,64
20190829,600589,大位科技,4.01,20190927,4.16,3.5%,29
20190830,600207,安彩高科,4.90,20190918,5.22,6.5%,19
20190903,600521,华海药业,14.36,20190918,12.12,-15.6%,15
20191011,002913,奥士康,26.05,20191125,22.88,-12.2%,45
20191021,600876,凯盛新能,12.00,20191025,12.50,4.2%,4
20191022,002124,天邦食品,10.14,20191112,9.42,-7.1%,21
20191024,002891,中宠股份,13.62,20200122,15.66,15.0%,90
20191025,002733,雄韬股份,20.31,20200204,20.85,2.7%,102
20191028,000910,大亚圣象,9.96,20200204,10.93,9.7%,99
20191029,300166,东方国信,13.50,20191101,12.41,-8.1%,3
20191029,002649,博彦科技,9.15,20191101,8.51,-7.0%,3
20191029,002044,美年健康,14.87,20200204,13.32,-10.4%,98
20191029,300448,浩云科技,7.73,20191101,7.00,-9.5%,3
20191029,300042,朗科科技,19.20,20191101,16.98,-11.6%,3
20191029,002100,天康生物,10.86,20191112,12.24,12.7%,14
20191029,002416,爱施德,3.43,20191101,3.17,-7.6%,3
20191030,603520,司太立,21.85,20191112,17.92,-18.0%,13
20191030,300052,中青宝,15.28,20191101,13.76,-10.0%,2
20191031,300363,博腾股份,12.40,20191112,11.36,-8.4%,12
20191031,000591,太阳能,2.64,20200117,2.87,8.7%,78
20191101,603259,药明康德,49.68,20191202,46.15,-7.1%,31
20200120,300617,安靠智电,22.18,20200204,23.86,7.6%,15
20200324,300765,石药创新,6.64,20200414,8.40,26.6%,21
20200401,300327,中颖电子,20.36,20200525,24.01,17.9%,54
20200401,300187,永清环保,4.70,20200417,5.04,7.2%,16
20200403,002049,紫光国微,38.90,20200529,47.95,23.3%,56
20200413,600683,京投发展,3.80,20200416,3.53,-7.1%,3
20200416,603489,八方股份,35.35,20220310,78.76,122.8%,693
20200420,300248,新开普,11.75,20200518,10.72,-8.8%,28
20200420,000799,酒鬼酒,27.16,20201230,149.09,448.9%,254
20200423,688278,特宝生物,34.45,20200528,36.63,6.3%,35
20200424,603088,宁波精达,2.32,20200513,2.71,16.8%,19
20200424,603797,联泰环保,7.47,20200427,6.96,-6.8%,3
20200424,600777,新潮能源,1.92,20200427,1.79,-6.8%,3
20200427,002568,百润股份,15.89,20200602,19.14,20.4%,36
20200428,603810,丰山集团,16.41,20200908,23.07,40.6%,133
20200429,600809,山西汾酒,61.02,20210218,310.02,408.1%,295
20200429,600211,西藏药业,14.45,20200727,79.80,452.3%,89
20200429,603005,晶方科技,34.31,20200518,37.33,8.8%,19
20200430,300476,胜宏科技,19.26,20200717,19.69,2.2%,78
20200506,002897,意华股份,30.25,20200717,33.91,12.1%,72
20200506,002906,华阳集团,11.15,20200525,10.26,-8.0%,19
20200506,600195,中牧股份,11.24,20200911,16.10,43.2%,128
20200506,603730,岱美股份,4.02,20200525,3.65,-9.3%,19
20200507,002314,南山控股,2.83,20200525,2.62,-7.4%,18
